ward_id,hour,level
W01,0,low
W01,1,low
W01,2,low
W01,3,low
W01,4,low
W01,5,low
W01,6,moderate
W01,7,high
W01,8,high
W01,9,high
W01,10,high
W01,11,moderate
W01,12,moderate
W01,13,moderate
W01,14,moderate
W01,15,moderate
W01,16,moderate
W01,17,high
W01,18,high
W01,19,high
W01,20,high
W01,21,moderate
W01,22,moderate
W01,23,moderate
W02,0,low
W02,1,low
W02,2,low
W02,3,low
W02,4,low
W02,5,low
W02,6,moderate
W02,7,high
W02,8,high
W02,9,high
W02,10,high
W02,11,moderate
W02,12,moderate
W02,13,moderate
W02,14,moderate
W02,15,moderate
W02,16,moderate
W02,17,high
W02,18,high
W02,19,high
W02,20,high
W02,21,moderate
W02,22,moderate
W02,23,moderate
W03,0,low
W03,1,low
W03,2,low
W03,3,low
W03,4,low
W03,5,low
W03,6,moderate
W03,7,high
W03,8,high
W03,9,high
W03,10,high
W03,11,high
W03,12,high
W03,13,high
W03,14,high
W03,15,high
W03,16,high
W03,17,high
W03,18,high
W03,19,high
W03,20,high
W03,21,moderate
W03,22,moderate
W03,23,moderate
W04,0,low
W04,1,low
W04,2,low
W04,3,low
W04,4,low
W04,5,low
W04,6,moderate
W04,7,moderate
W04,8,moderate
W04,9,moderate
W04,10,moderate
W04,11,moderate
W04,12,moderate
W04,13,moderate
W04,14,moderate
W04,15,moderate
W04,16,moderate
W04,17,high
W04,18,high
W04,19,high
W04,20,high
W04,21,moderate
W04,22,moderate
W04,23,moderate
W05,0,low
W05,1,low
W05,2,low
W05,3,low
W05,4,low
W05,5,low
W05,6,moderate
W05,7,moderate
W05,8,moderate
W05,9,moderate
W05,10,moderate
W05,11,moderate
W05,12,moderate
W05,13,moderate
W05,14,moderate
W05,15,moderate
W05,16,moderate
W05,17,high
W05,18,high
W05,19,high
W05,20,high
W05,21,moderate
W05,22,moderate
W05,23,moderate
W06,0,low
W06,1,low
W06,2,low
W06,3,low
W06,4,low
W06,5,low
W06,6,moderate
W06,7,moderate
W06,8,moderate
W06,9,moderate
W06,10,moderate
W06,11,moderate
W06,12,moderate
W06,13,moderate
W06,14,moderate
W06,15,moderate
W06,16,moderate
W06,17,high
W06,18,high
W06,19,high
W06,20,high
W06,21,moderate
W06,22,moderate
W06,23,moderate
W07,0,low
W07,1,low
W07,2,low
W07,3,low
W07,4,low
W07,5,low
W07,6,moderate
W07,7,moderate
W07,8,moderate
W07,9,moderate
W07,10,moderate
W07,11,moderate
W07,12,moderate
W07,13,moderate
W07,14,moderate
W07,15,moderate
W07,16,moderate
W07,17,high
W07,18,high
W07,19,high
W07,20,high
W07,21,moderate
W07,22,moderate
W07,23,moderate
W08,0,low
W08,1,low
W08,2,low
W08,3,low
W08,4,low
W08,5,low
W08,6,moderate
W08,7,high
W08,8,high
W08,9,high
W08,10,high
W08,11,moderate
W08,12,moderate
W08,13,moderate
W08,14,moderate
W08,15,moderate
W08,16,moderate
W08,17,high
W08,18,high
W08,19,high
W08,20,high
W08,21,moderate
W08,22,moderate
W08,23,moderate
